Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;R25,R3,R1,R4,R5,R27,R2,R26;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;8;2.2K;
2;U17,U12,U16,U10,U13,U14,U15,U11;SOJ-40_400mil;8;AS4C256K16FO;
3;R21,R8,R18,R14,R12,R16,R6,R15,R20,R19,R13,R17,R10,R11,R9,R7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;16;47;
4;SWA1;SW_DIP_SPSTx08_Slide_Omron_A6H-8101_W6.15mm_P1.27mm;1;SW_DIP_x08;
5;U5,U6;SOIC-20W_7.5x12.8mm_P1.27mm;2;74HCT244;
6;R22,R23;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;1K;
7;U2;SO-16_3.9x9.9mm_P1.27mm;1;74HCT253;
8;U7;SO-14_3.9x8.65mm_P1.27mm;1;74HCT32;
9;C22,C6,C8,C26,C17,C7,C23,C9,C11,C19,C32,C5,C15,C30,C14,C27,C13,C10,C29,C12,C20,C4,C16,C18,C31,C28,C3,C21,C24,C25,C1;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;31;0.1;
10;J5;PinHeader_1x09_P2.54mm_Horizontal;1;Conn_01x09;
