Designator,Mid X,Mid Y,Rotation,Layer
C1,171.55,-62.25,0.0,bottom
C10,226.345,-85.0163,90.0,bottom
C11,219.9059,-85.0116,90.0,bottom
C12,219.8503,-100.9048,90.0,bottom
C13,196.18,-21.09,90.0,bottom
C14,243.65,-100.8569,90.0,bottom
C15,226.2,-100.9048,90.0,bottom
C16,188.7002,-137.0021,0.0,bottom
C17,243.63,-131.96,90.0,bottom
C18,197.19,-38.28,90.0,bottom
C19,219.825,-132.0,90.0,bottom
C2,166.945,-82.775,0.0,top
C20,243.67,-116.3135,90.0,bottom
C21,226.225,-116.3064,90.0,bottom
C22,219.825,-116.3064,90.0,bottom
C23,226.25,-131.955,90.0,bottom
C24,219.885,-54.0592,90.0,bottom
C25,219.97,-38.5025,90.0,bottom
C26,226.3,-38.5,90.0,bottom
C27,243.71,-38.39,90.0,bottom
C28,199.69,-121.17,0.0,bottom
C29,199.38,-136.62,0.0,bottom
C3,219.96,-69.8562,90.0,bottom
C30,212.115,-62.375,0.0,bottom
C31,226.29,-23.0862,90.0,bottom
C32,243.89,-22.7962,90.0,bottom
C4,243.646,-54.0492,90.0,bottom
C5,226.286,-54.0592,90.0,bottom
C6,243.66,-69.8537,90.0,bottom
C7,226.3,-69.8637,90.0,bottom
C8,219.875,-23.0862,90.0,bottom
C9,243.65,-85.1063,90.0,bottom
D1,156.84,-139.29,180.0,top
D2,156.84,-141.9,180.0,top
J3,172.47,-105.69,180.0,bottom
J4,172.47,-133.55,180.0,bottom
J5,164.025,-131.755,0.0,bottom
JP1,211.96,-127.782,0.0,top
JP2,211.95,-130.726,0.0,top
JP3,162.525,-104.975,90.0,top
R1,212.255,-133.525,0.0,top
R10,204.4,-93.7,0.0,top
R11,190.685,-37.165,270.0,top
R12,204.4,-96.5,0.0,top
R13,204.4,-98.7,0.0,top
R14,204.4,-103.1,0.0,top
R15,204.4,-101.0,0.0,top
R16,204.4,-91.6,0.0,top
R17,204.4,-87.4,0.0,top
R18,203.885,-53.773,0.0,top
R19,204.93,-24.1568,0.0,top
R2,206.48,-140.61,270.0,top
R20,203.885,-49.339,0.0,top
R21,203.885,-47.122,0.0,top
R22,204.865,-20.495,0.0,top
R23,204.94,-27.97,0.0,top
R25,203.9,-127.1,180.0,top
R26,192.82,-22.0,180.0,top
R27,204.28,-140.64,270.0,top
R3,164.55,-109.2964,90.0,top
R4,181.72,-138.8,90.0,top
R5,203.9,-132.13,180.0,top
R6,203.885,-51.556,0.0,top
R7,199.51,-26.71,0.0,top
R8,203.885,-55.99,0.0,top
R9,204.4,-89.5,0.0,top
SWA1,211.635,-27.325,0.0,top
U1,197.825,-127.725,0.0,top
U10,232.0,-53.9042,90.0,top
U11,232.0,-84.7613,90.0,top
U12,232.0,-69.6637,90.0,top
U13,232.0,-115.8064,90.0,top
U14,232.0,-100.4048,90.0,top
U15,232.0,-38.445,90.0,top
U16,232.0,-131.355,90.0,top
U17,232.0,-22.9853,90.0,top
U2,197.775,-142.985,0.0,top
U20,181.09,-71.3814,180.0,bottom
U21,196.19,-71.3814,180.0,bottom
U5,167.7,-70.0486,270.0,top
U6,210.155,-70.1,270.0,top
U7,187.225,-143.605,0.0,top
U8,193.455,-28.605,0.0,top
U9,193.52,-45.69,0.0,top
